
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,中華工商,15,0,1,0,0,2,1,23,0,1,0,0,43
,四維高中,11,0,2,0,5,3,4,12,2,1,0,2,42
,玉里高中,24,1,0,0,1,1,1,11,4,1,0,2,46
,光復商工,7,0,1,0,0,1,1,7,0,0,0,0,17
,花蓮女中,0,1,0,0,2,1,0,0,0,0,0,0,4
,花蓮高工,2,0,0,1,3,0,2,16,1,2,0,0,27
,花蓮高中,0,0,2,0,2,4,2,0,1,2,0,1,14
,花蓮高商,1,2,0,0,0,1,1,2,0,2,0,1,10
,花蓮高農,78,2,2,0,3,4,3,19,4,5,0,1,121
,海星高中,1,0,0,0,4,3,3,6,0,2,0,0,19
,國光商工,1,0,0,0,0,0,0,0,0,0,0,0,1
,慈濟附中,0,1,0,0,0,0,0,0,0,0,0,0,1
,體育實驗高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,總計,140,7,8,1,20,20,18,97,12,16,0,7,346
