
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,中華工商,6,0,0,1,2,2,1,10,0,0,0,4,26
,四維高中,10,2,0,1,5,8,3,14,1,1,0,1,46
,玉里高中,26,0,0,0,5,1,0,4,1,0,0,0,37
,光復商工,7,0,0,1,1,0,1,7,1,0,0,0,18
,花蓮女中,0,0,2,0,2,3,0,0,0,0,0,0,7
,花蓮高工,4,0,1,1,1,2,3,15,1,2,0,0,30
,花蓮高中,0,1,0,0,1,3,1,0,0,0,0,0,6
,花蓮高商,0,0,0,1,2,3,1,2,1,0,0,0,10
,花蓮高農,74,0,2,1,3,2,3,12,7,1,0,0,105
,海星高中,1,0,0,0,3,1,0,0,1,0,0,1,7
,國光商工,8,0,0,0,1,0,2,6,0,0,0,0,17
,慈濟附中,0,1,0,0,0,0,0,0,0,0,0,0,1
,體育實驗高中,0,0,0,0,0,1,0,4,0,0,0,0,5
,總計,136,4,5,6,26,26,15,74,13,4,0,6,315
