
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,中華工商,14,0,0,0,0,2,1,24,0,1,0,0,42
,四維高中,11,0,2,0,5,3,3,12,2,1,0,2,41
,玉里高中,25,1,0,0,1,1,1,10,4,1,0,1,45
,光復商工,8,0,1,0,0,1,1,7,0,0,0,0,18
,花蓮女中,0,1,0,0,2,1,0,0,0,0,0,0,4
,花蓮高工,2,0,0,1,3,0,2,14,1,2,0,0,25
,花蓮高中,0,0,2,0,2,4,1,0,1,2,0,1,13
,花蓮高商,1,2,0,0,0,1,2,2,0,2,0,1,11
,花蓮高農,74,2,2,0,4,4,4,18,4,5,0,1,118
,海星高中,1,0,0,0,4,3,3,6,0,2,0,0,19
,國光商工,1,0,0,0,0,0,0,0,0,0,0,0,1
,慈濟附中,0,1,0,0,0,0,0,0,0,0,0,0,1
,體育實驗高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,總計,137,7,7,1,21,20,18,94,12,16,0,6,339
