
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,上騰工商,12,1,0,0,0,0,0,3,14,0,1,0,0,31
,四維高中,10,0,1,1,3,2,4,5,29,1,1,0,0,57
,玉里高中,28,0,1,0,1,0,0,1,3,0,3,0,0,37
,光復商工,8,0,2,0,5,1,0,0,6,3,1,0,0,26
,花蓮女中,0,2,3,0,3,0,2,1,0,0,0,0,0,11
,花蓮高工,1,0,1,1,1,0,2,3,23,0,5,0,0,37
,花蓮高中,0,0,0,0,1,0,1,5,0,2,0,0,0,9
,花蓮高商,0,1,1,1,0,1,5,0,5,0,1,0,0,15
,花蓮高農,78,1,2,0,1,0,0,2,23,1,2,0,2,112
,海星高中,4,0,2,1,0,0,2,2,13,1,7,0,0,32
,慈濟附中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,體育實驗高中,0,0,1,0,0,0,0,0,1,0,0,0,0,2
,總計,141,5,14,4,16,4,16,22,117,8,21,0,2,370
