
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土庫商工,0,3,2,0,2,2,1,5,0,0,0,1,16
,大成商工,20,2,1,1,8,13,3,46,1,0,0,2,97
,大德工商,91,0,3,2,5,3,5,30,2,0,0,1,142
,文生高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,斗六家商,0,3,3,1,3,3,1,6,1,0,0,0,21
,斗六高中,0,5,1,0,2,0,0,0,0,0,0,0,8
,北港高中,0,1,1,0,3,3,1,1,0,1,0,0,11
,北港農工,38,0,0,0,0,0,1,17,0,0,0,1,57
,巨人高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,永年高中,0,0,0,0,1,1,0,0,0,0,0,0,2
,西螺農工,1,1,3,0,1,3,0,12,0,1,0,2,24
,虎尾高中,0,0,0,0,4,1,2,0,0,1,0,0,8
,虎尾農工,76,1,2,1,2,1,0,17,2,3,0,1,106
,麥寮高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,揚子高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,義峰高中,5,0,2,0,1,5,0,12,1,0,0,0,26
,福智高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,維多利亞實驗高級中學,0,0,0,0,0,0,0,0,0,0,0,1,1
,總計,231,16,19,5,33,37,14,147,7,6,0,9,524
