
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土庫商工,1,0,1,0,3,0,2,1,7,0,0,0,0,15
,大成商工,43,1,0,2,6,0,5,3,80,1,1,0,0,142
,大德工商,95,0,1,0,1,0,2,1,30,6,0,0,0,136
,斗六家商,0,1,3,0,4,0,2,9,9,0,1,0,0,29
,斗六高中,0,0,1,2,2,0,1,2,0,1,3,0,0,12
,斗南高中,0,0,0,0,1,0,0,0,2,0,0,0,0,3
,北港高中,0,1,0,0,2,0,1,0,0,2,0,0,2,8
,北港農工,43,0,1,1,1,0,2,4,14,1,0,0,1,68
,正心中學,0,0,0,0,3,0,3,0,0,0,2,0,0,8
,永年高中,1,0,0,0,0,0,0,0,1,0,0,0,0,2
,西螺農工,1,0,2,0,2,0,2,8,14,0,0,0,0,29
,虎尾高中,0,0,1,0,4,0,3,0,0,0,0,0,3,11
,虎尾農工,82,0,3,1,5,0,1,4,29,6,0,0,0,131
,麥寮高中,0,0,0,0,0,0,0,2,2,0,0,0,1,5
,揚子高中,0,0,0,0,2,0,0,1,1,0,0,0,0,4
,義峰高中,3,1,3,1,2,0,2,2,16,0,0,0,0,30
,福智高中,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,總計,269,4,16,7,38,0,26,37,206,17,7,0,7,634
