
,教育階段：高中職,製表日期：2019/03/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土庫商工,0,0,0,0,1,1,0,0,26,0,1,0,0,29
,大成商工,32,0,1,1,1,1,3,3,112,1,1,0,0,156
,大德工商,73,0,2,0,0,2,1,1,41,0,1,0,0,121
,斗六家商,0,1,4,0,1,0,0,7,21,0,2,0,0,36
,斗六高中,0,0,1,0,1,0,1,2,2,0,0,0,0,7
,斗南高中,0,1,0,0,0,0,0,3,0,0,2,0,0,6
,北港高中,1,0,1,0,0,1,1,0,10,0,0,0,0,14
,北港農工,38,1,0,0,0,1,0,2,36,0,3,0,0,81
,古坑華德福實驗高中,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,巨人高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,正心中學,0,0,0,0,0,0,2,1,1,0,3,0,0,7
,永年高中,1,0,1,0,0,0,0,0,0,0,0,0,0,2
,西螺農工,1,0,3,0,1,0,0,4,49,0,5,0,0,63
,虎尾高中,0,0,1,0,1,2,1,0,2,0,2,0,0,9
,虎尾農工,66,0,1,0,0,1,1,3,55,2,5,0,0,134
,麥寮高中,0,0,0,0,0,1,0,1,4,0,0,0,0,6
,揚子高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,義峰高中,43,0,3,0,2,1,0,9,44,7,2,0,0,111
,福智高中,0,0,1,0,1,0,0,0,1,0,0,0,0,3
,維多利亞實驗高級中學,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,總計,255,3,20,1,9,11,12,36,405,10,27,0,0,789
