
,教育階段：高中職,製表日期：2019/03/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大園國際高中,0,1,2,1,0,0,3,6,7,0,2,0,0,22
,大溪高中,1,0,1,0,0,0,0,1,6,0,1,0,0,10
,大興學校財團法人桃園市大興高中,29,1,1,0,2,1,0,10,56,0,12,0,0,112
,中央大學附屬中壢高中,0,4,4,0,5,0,5,10,1,0,11,0,1,41
,中壢家商,0,1,7,0,4,0,1,3,25,0,2,0,0,43
,中壢高商,72,0,4,2,6,2,3,13,14,2,15,0,0,133
,內壢高中,0,1,1,0,3,1,6,8,8,0,6,0,1,35
,六和學校財團法人桃園市六和高中,0,0,0,0,0,0,2,1,2,0,2,0,1,8
,天主教振聲學校財團法人桃園市振聲高中,1,1,0,0,0,2,2,9,26,1,8,0,2,52
,方曙商工,27,0,0,1,1,1,0,2,5,2,2,0,0,41
,北科附工,75,2,4,1,2,0,1,40,64,2,25,0,1,217
,平鎮高中,1,1,1,0,1,1,0,3,3,0,11,0,4,26
,永平學校財團法人桃園市永平工商高中,24,1,2,2,0,1,2,21,230,1,7,0,0,291
,永豐高中,1,1,0,0,0,0,0,2,2,1,0,0,0,7
,光啟學校財團法人桃園市光啟高中,12,0,1,1,0,0,0,4,37,1,1,0,1,58
,成功工商,73,0,3,0,2,3,1,13,105,4,10,0,0,214
,至善高中,7,1,0,0,0,0,0,1,25,0,3,0,0,37
,武陵高中,0,1,3,1,3,0,4,10,5,0,32,0,2,61
,治平學校財團法人桃園市治平高中,14,1,6,2,2,0,1,20,94,1,6,0,0,147
,南崁高中,0,1,0,1,1,1,1,2,8,1,0,0,1,17
,泉僑學校財團法人桃園市漢英高級中等學校,1,0,0,0,0,0,0,0,3,0,1,0,0,5
,桃園育達學校財團法人桃園市育達高中,19,1,1,0,5,2,8,15,118,0,17,0,1,187
,桃園高中,0,2,2,0,2,1,1,15,5,0,9,0,2,39
,啟英學校財團法人桃園市啟英高中,60,2,3,3,3,1,6,25,221,4,20,0,0,348
,清華學校財團法人桃園市清華高中,61,0,0,0,1,3,1,2,41,5,14,0,0,128
,復旦學校財團法人桃園市復旦高中,0,0,1,0,0,2,0,1,1,0,1,0,0,6
,陽明高中,0,0,2,0,4,2,3,6,2,2,17,0,2,40
,新屋高中,1,0,0,0,0,1,0,0,0,0,1,0,0,3
,新興學校財團法人桃園市新興高中,5,0,5,3,4,4,4,21,82,3,25,0,1,157
,楊梅高中,2,0,0,1,1,3,1,6,10,1,6,0,1,32
,壽山高中,0,3,4,0,2,2,3,15,21,1,11,0,0,62
,臺灣大華學校財團法人桃園市私立大華高中,0,0,0,0,0,0,0,0,1,0,2,0,0,3
,龍潭高中,71,0,0,0,1,0,2,9,44,4,14,0,0,145
,龍潭高中進修部,6,0,0,0,0,0,0,10,6,0,0,0,0,22
,觀音高中,0,0,0,0,1,0,0,3,13,0,7,0,0,24
,總計,563,26,58,19,56,34,61,307,1291,36,301,0,21,2773
