
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大溪高中,0,0,0,0,0,1,0,0,0,1,0,0,2
,大興高中,5,1,0,0,5,2,3,11,0,2,0,1,30
,中壢家商,0,0,4,1,3,1,0,9,0,1,0,0,19
,中壢高中,0,5,2,0,2,1,0,0,1,1,0,5,17
,中壢高商,49,1,1,0,3,1,2,16,4,5,0,4,86
,內壢高中,0,2,2,0,3,1,0,0,0,3,0,0,11
,六和高中,0,0,2,0,1,0,0,1,0,2,0,0,6
,方曙商工,35,0,0,0,0,0,1,6,3,2,0,3,50
,平鎮高中,0,0,2,0,3,0,0,0,0,2,0,0,7
,永平工商,7,3,1,0,4,0,4,28,1,5,0,5,58
,永豐高中,1,0,2,0,2,0,2,0,0,0,0,1,8
,光啟高中,3,1,1,0,4,3,6,12,3,6,0,2,41
,成功工商,10,3,3,0,3,4,4,16,5,1,0,6,55
,至善高中,4,0,0,0,7,0,0,6,1,0,0,1,19
,育達高中,11,0,2,0,5,2,5,12,3,0,0,6,46
,武陵高中,0,3,5,0,9,3,1,0,0,8,0,10,39
,治平高中,1,0,1,0,6,1,1,9,2,0,0,2,23
,南崁高中,0,0,1,0,1,0,0,2,0,6,0,0,10
,泉僑高中,0,0,0,0,1,1,0,0,0,0,0,2,4
,振聲高中,1,2,2,0,12,1,3,9,4,5,0,3,42
,桃園高中,0,1,3,0,5,0,0,0,0,2,0,4,15
,桃園農工,79,1,3,2,2,2,1,20,8,13,0,7,138
,啟英高中,24,1,0,2,5,0,3,26,6,6,0,2,75
,清華高中,67,0,4,1,8,1,3,16,5,1,0,4,110
,復旦高中,0,0,2,0,2,0,1,0,0,1,0,0,6
,陽明高中,0,1,4,0,4,0,0,0,0,2,0,3,14
,新興高中,0,1,3,0,6,4,1,12,1,1,0,2,31
,楊梅高中,0,0,1,0,4,0,0,4,2,1,0,0,12
,壽山高中,0,0,0,0,0,0,0,3,0,1,0,0,4
,龍潭農工,49,1,6,0,1,0,0,10,8,4,0,2,81
,總計,346,27,57,6,111,29,41,228,57,82,0,75,1059
