
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,中道高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,宜蘭大學附設高職進修學校,1,0,1,2,4,1,0,4,2,0,0,2,17
,宜蘭高中,0,1,0,1,1,0,1,1,0,3,0,0,8
,宜蘭高商,2,0,0,0,7,6,2,33,1,2,0,4,57
,南澳高中,1,0,0,0,1,0,0,6,0,0,0,3,11
,慧燈高中,0,0,0,0,1,1,0,0,0,0,0,0,2
,頭城家商,75,3,8,0,3,8,4,42,5,2,0,9,159
,羅東高工,37,0,4,0,0,1,3,40,2,3,0,3,93
,羅東高中,0,0,2,0,5,8,1,2,1,3,0,0,22
,羅東高商,2,1,1,0,4,1,1,16,2,4,0,4,36
,蘇澳海事,1,1,1,2,0,0,1,29,1,0,0,6,42
,蘭陽女中,0,0,1,1,2,1,1,0,1,0,0,1,8
,總計,119,6,19,6,28,27,14,173,15,17,0,32,456
