
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,中道高中,0,0,1,0,0,1,0,1,0,0,0,0,3
,宜蘭大學附設高職進修學校,1,0,1,1,1,1,3,1,0,0,0,1,10
,宜蘭高中,0,1,1,0,1,0,0,1,0,10,0,0,14
,宜蘭高商,2,0,1,1,8,8,4,28,0,3,0,2,57
,南澳高中,6,0,0,0,0,0,1,5,0,0,0,0,12
,慧燈高中,0,0,0,0,2,1,0,0,0,0,0,0,3
,頭城家商,79,4,6,0,1,5,8,51,8,2,0,2,166
,羅東高工,36,0,4,0,1,3,8,43,4,8,0,1,108
,羅東高中,0,2,0,2,2,6,2,5,2,5,0,0,26
,羅東高商,5,0,2,0,7,4,4,41,3,5,0,2,73
,蘇澳海事,3,0,3,1,0,1,5,42,0,1,0,6,62
,蘭陽女中,0,0,1,2,0,1,1,0,1,0,0,1,7
,總計,132,7,20,7,23,31,36,218,18,34,0,15,541
