
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,中道高中,0,0,1,0,0,1,0,1,0,0,0,0,3
,宜蘭大學附設高職進修學校,1,0,1,1,1,1,3,1,0,0,0,1,10
,宜蘭高中,0,1,1,0,1,0,0,1,0,10,0,0,14
,宜蘭高商,2,1,1,1,7,10,4,28,0,4,0,2,60
,南澳高中,7,0,0,0,0,0,2,5,0,0,0,0,14
,慧燈高中,0,0,0,0,2,1,0,0,0,0,0,0,3
,頭城家商,79,4,6,0,1,6,8,51,8,2,0,2,167
,羅東高工,36,0,4,0,1,3,8,41,5,8,0,1,107
,羅東高中,0,2,0,2,2,6,3,5,2,5,0,0,27
,羅東高商,6,0,2,0,9,4,4,39,3,4,0,2,73
,蘇澳海事,3,0,1,1,0,1,3,35,0,1,0,4,49
,蘭陽女中,0,0,1,2,0,1,1,0,1,0,0,1,7
,總計,134,8,18,7,24,34,36,207,19,34,0,13,534
