
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大同高中,0,0,0,0,0,2,0,0,0,0,0,0,2
,內埔農工,2,1,0,0,0,1,1,9,0,2,0,0,16
,日新工商,26,0,0,0,1,0,0,6,2,0,0,0,35
,民生家商,9,0,0,1,5,4,0,22,0,2,0,0,43
,佳冬高農,54,2,0,0,0,1,0,13,8,4,0,0,82
,來義高中,1,1,0,0,0,2,0,2,0,0,0,0,6
,枋寮高中,1,0,0,0,0,0,0,1,0,0,0,0,2
,東港海事,2,0,0,0,3,2,1,7,0,1,0,0,16
,東港高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,屏北高中,1,0,2,0,4,1,0,0,0,2,0,1,11
,屏東女中,0,0,3,0,1,2,0,0,0,0,0,0,6
,屏東高工,80,0,6,0,1,5,1,20,11,7,0,0,131
,屏東高中,1,2,1,0,2,1,0,1,0,3,0,0,11
,屏榮高中,6,1,5,0,5,4,0,9,1,2,0,2,35
,恆春工商,15,1,0,0,2,0,1,4,7,0,0,0,30
,美和高中,1,0,0,0,0,2,0,0,0,0,0,0,3
,華洲工家,48,0,0,0,1,2,0,12,7,0,0,0,70
,新基高中,2,0,2,0,0,0,0,1,0,0,0,0,5
,潮州高中,1,0,2,0,4,0,0,1,0,1,0,0,9
,總計,250,8,21,1,30,29,4,108,36,24,0,3,514
