
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大同高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,內埔農工,2,1,1,0,2,2,0,8,0,2,0,4,22
,日新工商,43,0,0,1,4,1,0,10,3,1,0,6,69
,民生家商,10,0,5,1,2,2,1,27,0,0,0,6,54
,佳冬高農,32,2,1,1,1,0,0,15,6,3,0,5,66
,來義高中,2,0,0,0,0,0,0,6,0,0,0,0,8
,東港海事,1,0,1,0,1,0,0,10,1,0,0,1,15
,屏北高中,0,0,0,0,2,1,0,2,0,0,0,0,5
,屏東女中,0,0,2,0,3,1,0,0,0,0,0,1,7
,屏東高工,53,1,2,1,7,1,0,21,15,2,0,5,108
,屏東高中,0,0,2,0,1,0,1,0,0,1,0,0,5
,屏榮高中,7,1,5,1,6,3,0,21,3,1,0,13,61
,恆春工商,18,2,0,1,3,6,1,11,2,1,0,1,46
,美和高中,0,0,0,0,2,0,0,2,0,0,0,0,4
,陸興高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,華洲工家,38,0,1,1,1,0,0,19,2,2,0,3,67
,新基高中,2,0,0,0,0,0,0,3,0,0,0,1,6
,潮州高中,0,1,0,1,0,0,0,0,0,0,0,2,4
,總計,208,8,20,8,36,17,3,156,32,13,0,48,549
