
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大同高中,0,0,1,0,0,0,1,0,0,0,1,0,0,3
,內埔農工,3,0,0,0,2,0,2,0,23,0,4,0,0,34
,日新工商,36,0,0,1,3,0,1,0,3,1,0,0,0,45
,民生家商,12,1,2,0,4,0,3,4,22,2,3,0,0,53
,佳冬高農,55,1,1,0,4,0,0,1,25,5,2,0,1,95
,來義高中,0,1,0,0,0,0,0,0,4,0,0,0,0,5
,枋寮高中,1,0,0,0,0,0,0,0,1,0,0,0,0,2
,東港海事,4,1,1,0,1,0,5,1,18,0,1,0,0,32
,東港高中,0,0,0,0,1,1,1,0,0,0,0,0,0,3
,屏北高中,1,0,1,0,3,0,3,0,0,0,0,0,0,8
,屏東女中,0,1,3,0,3,0,1,0,0,0,0,0,1,9
,屏東高工,78,1,8,0,1,0,4,0,26,8,6,0,1,133
,屏東高中,0,1,0,0,3,0,0,0,0,0,3,0,1,8
,屏榮高中,5,1,4,0,3,0,3,1,21,0,6,0,1,45
,恆春工商,16,0,2,0,5,0,0,0,14,4,1,0,2,44
,美和高中,0,0,0,0,1,0,3,0,0,0,0,0,0,4
,陸興高中,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,華洲工家,37,0,1,0,0,1,0,0,9,1,0,0,0,49
,潮州高中,0,1,1,0,4,0,3,1,0,0,1,0,0,11
,總計,248,9,25,1,38,2,30,8,167,21,28,0,7,584
