
,教育階段：高中職,製表日期：2018/10/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,世界高中,23,1,1,0,0,0,3,3,91,2,8,0,0,132
,光復高中,35,3,2,0,1,1,3,13,196,0,16,0,1,271
,成德高中,0,0,0,0,0,0,0,0,10,0,1,0,0,11
,建功高中,0,0,3,0,0,1,1,4,4,0,13,0,0,26
,科學工業園區高中,0,0,1,0,1,0,3,1,1,0,10,0,0,17
,香山高中,0,1,0,0,0,1,0,1,26,0,5,0,0,34
,新竹女中,0,0,3,0,1,0,4,4,0,1,4,0,0,17
,新竹高工,77,1,1,0,1,0,0,15,24,1,26,0,1,147
,新竹高中,0,0,3,0,3,1,1,5,2,0,14,0,1,30
,新竹高商,0,0,5,0,0,4,4,4,26,0,13,0,0,56
,磐石高中,0,0,1,0,1,0,0,6,27,0,5,0,0,40
,曙光女中,0,0,1,0,0,0,1,0,3,0,0,0,0,5
,總計,135,6,21,0,8,8,20,56,410,4,115,0,3,786
