
,教育階段：高中職,製表日期：2018/3/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,公東高工,9,0,2,0,1,0,0,5,27,1,0,0,2,47
,成功商業水產,4,0,0,0,0,0,0,1,8,1,0,0,0,14
,均一實驗高中,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,育仁高中,1,0,0,0,1,0,0,0,2,0,1,0,0,5
,臺東大學附中,1,0,0,0,0,0,0,0,4,0,0,0,0,5
,臺東女中,0,0,0,0,0,0,1,0,1,0,2,0,0,4
,臺東高中,0,0,0,0,0,1,1,1,6,0,2,0,0,11
,臺東高商,2,0,1,0,4,0,1,0,4,2,3,0,1,18
,臺東專科學校(高職部),44,0,0,0,3,0,0,2,28,3,2,0,1,83
,關山工商,28,0,0,0,3,0,0,1,13,1,2,0,0,48
,蘭嶼高中,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,總計,89,0,3,0,12,1,3,10,95,8,12,0,4,237
