
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二信高中,2,0,1,0,3,0,3,5,1,0,2,0,0,17
,八斗高中,1,0,0,0,1,1,0,0,2,1,0,0,0,6
,中山高中,0,0,0,0,1,0,1,2,0,0,1,0,0,5
,光隆家商,3,1,0,2,4,0,0,0,5,0,6,0,1,22
,安樂高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,基隆女中,1,0,0,0,1,0,2,2,0,1,1,0,0,8
,基隆海事,45,0,2,0,2,0,4,8,8,2,7,0,1,79
,基隆高中,0,0,0,0,0,0,0,4,1,0,0,0,0,5
,基隆商工,36,3,1,0,6,1,6,15,12,4,5,0,1,90
,培德工家,5,0,0,0,0,0,0,5,6,0,0,0,0,16
,暖暖高中,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,聖心高中,9,0,2,0,0,2,0,7,9,0,2,0,0,31
,總計,102,4,6,2,18,4,17,48,44,9,24,0,3,281
