
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二信高中,4,0,1,1,1,3,1,1,0,0,0,1,13
,八斗高中,1,0,0,0,0,0,1,1,0,0,0,0,3
,中山高中,0,1,0,0,1,1,2,0,0,0,0,0,5
,光隆家商,10,0,2,2,3,4,1,6,3,2,0,1,34
,安樂高中,0,0,0,0,1,0,2,0,0,1,0,0,4
,基隆女中,1,0,0,0,0,1,3,0,0,1,0,0,6
,基隆海事,37,2,1,0,1,1,8,21,5,9,0,1,86
,基隆高中,0,0,0,1,0,0,1,1,0,2,0,1,6
,基隆商工,36,6,2,0,1,4,6,4,10,5,0,1,75
,培德工家,4,1,0,0,0,1,2,6,0,1,0,0,15
,暖暖高中,0,0,0,0,0,1,1,0,0,1,0,0,3
,聖心高中,4,0,0,0,1,3,6,3,1,3,0,0,21
,總計,97,10,6,4,9,19,34,43,19,25,0,5,271
