
,教育階段：高中職,製表日期：2019/03/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二信高中,0,0,2,0,1,0,1,4,6,0,10,0,0,24
,八斗高中,0,0,0,0,0,0,0,0,2,0,0,0,0,2
,中山高中,0,0,0,0,0,0,0,0,2,0,0,0,0,2
,光隆家商,5,0,1,0,4,1,4,6,9,0,4,0,0,34
,安樂高中,0,1,0,0,0,1,0,3,0,0,1,0,0,6
,基隆女中,0,0,0,0,1,0,0,3,0,0,2,0,0,6
,基隆海事,37,1,1,1,0,1,4,12,41,0,20,0,0,118
,基隆高中,0,0,1,0,0,0,0,0,0,0,1,0,0,2
,基隆商工,38,1,1,0,6,0,1,11,12,0,13,0,0,83
,培德工家,4,0,1,0,0,0,0,2,5,0,2,0,0,14
,暖暖高中,0,0,0,0,0,0,0,2,0,0,2,0,0,4
,聖心高中,2,0,0,0,0,2,0,3,16,0,6,0,0,29
,總計,86,3,7,1,12,5,10,46,93,0,61,0,0,324
